ID,Title,File Path
gundam_H_1_1,布勞．布羅,image\unit\gundam_H_1_1.png
gundam_H_1_2,布勞尼羅,image\unit\gundam_H_1_2.png
gundam_H_1_3,渣古尼羅,image\unit\gundam_H_1_3.png
gundam_H_2_1,高達,image\unit\gundam_H_2_1.png
gundam_H_2_2,太空坦克,image\unit\gundam_H_2_2.png
gundam_H_3_1,強人,image\unit\gundam_H_3_1.png
gundam_H_3_2,宇宙魔蟹,image\unit\gundam_H_3_2.png
z_H_1_1,高達Mk-II(奧干規格),image\unit\z_H_1_1.png
z_H_2_1,卡博羅,image\unit\z_H_2_1.png
z_H_3_1,密沙羅,image\unit\z_H_3_1.png
z_H_3_2,卡碧尼原型機,image\unit\z_H_3_2.png
z_H_1_2,廸傑,image\unit\z_H_1_2.png
z_H_2_2,獵犬,image\unit\z_H_2_2.png
zz_H_1_1,百式改,image\unit\zz_H_1_1.png
zz_H_1_2,米加重砲艇,image\unit\zz_H_1_2.png
zz_H_2_1,量產型卡碧尼,image\unit\zz_H_2_1.png
zz_H_2_2,渣古III,image\unit\zz_H_2_2.png
zz_H_2_3,札斯J,image\unit\zz_H_2_3.png
zz_H_3_1,沙姆路．芬,image\unit\zz_H_3_1.png
zz_H_3_2,德萊森,image\unit\zz_H_3_2.png
zz_H_3_3,達希魯夫,image\unit\zz_H_3_3.png
g_H_1_1,洗牌同盟．小丑,image\unit\g_H_1_1.png
g_H_1_2,洗牌同盟．梅花,image\unit\g_H_1_2.png
g_H_1_3,洗牌同盟．黑桃,image\unit\g_H_1_3.png
g_H_1_4,洗牌同盟．方塊,image\unit\g_H_1_4.png
w_H_1_1,比歌 II,image\unit\w_H_1_1.png
w_H_1_2,拜葉特,image\unit\w_H_1_2.png
w_H_1_3,比歌,image\unit\w_H_1_3.png
w_H_2_1,多魯基斯,image\unit\w_H_2_1.png
w_H_2_2,特拉士(OZ規格),image\unit\w_H_2_2.png
w_H_3_1,神龍高達,image\unit\w_H_3_1.png
w_H_3_2,馬格亞那克,image\unit\w_H_3_2.png
w_H_3_3,重砲手高達改,image\unit\w_H_3_3.png
x_H_1_1,阿斯特龍高達,image\unit\x_H_1_1.png
x_H_1_2,華沙哥高達,image\unit\x_H_1_2.png
x_H_1_3,空王高達,image\unit\x_H_1_3.png
x_H_1_4,斑豹高達,image\unit\x_H_1_4.png
seed_H_1_1,空中霸王(砲戰型突擊裝備),image\unit\seed_H_1_1.png
seed_H_1_2,空中霸王(重劍型突擊裝備),image\unit\seed_H_1_2.png
seed_H_1_3,突擊高達．紅,image\unit\seed_H_1_3.png
seed_H_2_1,M1A迷惘高達,image\unit\seed_H_2_1.png
seed_H_3_1,捷武(D裝備),image\unit\seed_H_3_1.png
seed_H_3_2,決鬥高達(強襲護甲裝備),image\unit\seed_H_3_2.png
seedre_H_1_1,基捷,image\unit\seedre_H_1_1.png
seedre_H_1_2,自由高達,image\unit\seedre_H_1_2.png
00_H_1_1,座天使高達一型,image\unit\00_H_1_1.png
00_H_1_2,座天使高達二型,image\unit\00_H_1_2.png
00_H_1_3,座天使高達三型,image\unit\00_H_1_3.png
orp_H_1_1,高達錫蒙力馬兵,image\unit\orp_H_1_1.png
orp_H_1_2,舒華爾比．古尼捷(愛因機),image\unit\orp_H_1_2.png
mer_H_1_1,鐵騎高達,image\unit\mer_H_1_1.png
mer_H_1_2,惡魔審判者,image\unit\mer_H_1_2.png
mer_H_1_3,達里魯巴路迪,image\unit\mer_H_1_3.png
astray_ev_1_1,工程用捷武,image\unit\astray_ev_1_1.png
astray_ev_1_2,迷惘高達紅色機,image\unit\astray_ev_1_2.png
astray_ev_2_1,伊萊傑專用捷武改,image\unit\astray_ev_2_1.png
astray_ev_2_2,伊萊傑專用捷武,image\unit\astray_ev_2_2.png
f_rg,紅色高達(0085),image\unit\f_rg.png
f_obe,奧伯隆(裝甲型態),image\unit\f_obe.png
f_dice,骰子高達,image\unit\f_dice.png
star1_H_1_1,高達試作1號機,image\unit\star1_H_1_1.png
star1_H_1_2,吉姆改,image\unit\star1_H_1_2.png
star1_H_1_3,渣古II F2型,image\unit\star1_H_1_3.png
star1_H_2_1,高達試作2號機,image\unit\star1_H_2_1.png
star1_H_2_2,薩米路,image\unit\star1_H_2_2.png
star1_H_2_3,大魔熱帶型,image\unit\star1_H_2_3.png
star1_H_3_1,吉姆特裝型,image\unit\star1_H_3_1.png
star1_H_3_2,蓋吉克M,image\unit\star1_H_3_2.png
star1_H_3_3,力量型吉姆,image\unit\star1_H_3_3.png
star1_H_3_4,吉姆大砲II,image\unit\star1_H_3_4.png
